YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
1997,Top Ten,`,,1,
1997,Top Ten,`,,2,
1997,Top Ten,`,,3,
1997,Top Ten,`,,4,
1997,Top Ten,`,,5,
1997,Top Ten,`,,6,
1997,Top Ten,`,,7,
1997,Top Ten,`,,8,
1997,Top Ten,`,,9,
1997,Top Ten,`,,10,
1997,Top Ten,`,,10,
1997,Top Ten,`,,12,
1997,Top Ten,`,,13,
1997,Top Ten,`,,14,
1997,Top Ten,`,,15,
1997,Best Picture,The Apostle,,0,
1997,Best Picture,As Good as it Gets,,0,
1997,Best Picture,Good Will Hunting,,1,
1997,Best Picture,L.A. Confidential,,0,
1997,Best Picture,Waiting for Guffman,,0,
1997,Best Actor,Good Will Hunting,Matt Damon,0,
1997,Best Actor,The Apostle,Robert Duvall,1,
1997,Best Actor,In the Company of Men,Aaron Eckhart,0,
1997,Best Actor,Waiting for Guffman,Christopher Guest,0,
1997,Best Actor,As Good as it Gets,Jack Nicholson,0,
1997,Best Actress,Jackie Brown,Pam Grier,0,
1997,Best Actress,As Good as it Gets,Helen Hunt,1,
1997,Best Actress,Marvin's Room,Diane Keaton,0,
1997,Best Actress,Marvin's Room,Meryl Streep,0,
1997,Best Actress,Titanic,Kate Winslet,0,
1997,Best Supporting Actor,Boogie Nights|Hard Eight,Philip Seymour Hoffman,0,
1997,Best Supporting Actor,As Good as it Gets,Greg Kinnear,0,
1997,Best Supporting Actor,Gattaca,Jude Law,0,
1997,Best Supporting Actor,Donnie Brasco,Al Pacino,0,
1997,Best Supporting Actor,Good Will Hunting,Robin Williams,1,
1997,Best Supporting Actress,L.A. Confidential,Kim Basinger,0,
1997,Best Supporting Actress,Good Will Hunting,Minnie Driver,0,
1997,Best Supporting Actress,Boogie Nights,Julianne Moore,1,
1997,Best Supporting Actress,The Apostle,Miranda Richardson,0,
1997,Best Supporting Actress,The Ice Storm,Sigourney Weaver,0,
1997,Best Director,Boogie Nights,Paul Thomas Anderson,0,
1997,Best Director,The Apostle,Robert Duvall,0,
1997,Best Director,Waiting for Guffman,Christopher Guest,0,
1997,Best Director,L.A. Confidential,Curtis Hanson,0,
1997,Best Director,Good Will Hunting,Gus Van Sant,1,
1997,Best Cinematography,Gattaca,Slawomir Idziak,0,
1997,Best Cinematography,Good Will Hunting,Jean-Yves Escoffier,0,
1997,Best Cinematography,L.A. Confidential,Dante Spinotti,0,
1997,Best Cinematography,Microcosmos,Thierry Machado,1,
1997,Best Cinematography,Seven Years in Tibet,Robert Fraisse,0,
1997,Best Original Screenplay,The Apostle,Robert Duvall,0,
1997,Best Original Screenplay,The Game,John D. Brancato|Michael Ferris,0,
1997,Best Original Screenplay,Good Will Hunting,Ben Affleck|Matt Damon,1,
1997,Best Original Screenplay,In the Company of Men,Neil LaBute,0,
1997,Best Original Screenplay,Waiting for Guffman,Christopher Guest|Eugene Levy,0,
1997,Best Adapted Screenplay,Donnie Brasco,Paul Attanasio,0,
1997,Best Adapted Screenplay,Jackie Brown,Quentin Tarantino,0,
1997,Best Adapted Screenplay,L.A. Confidential,Brian Helgeland|Curtis Hanson,1,
1997,Best Adapted Screenplay,Marvin's Room,Scott McPherson,0,
1997,Best Documentary,Fast Cheap and Out of Control,,0,
1997,Best Documentary,Hype!,,0,
1997,Best Documentary,Microcosmos,,1,
1997,Best Documentary,When We Were Kings,,0,
1997,Best Documentary,The Year of the Horse,,0,
1997,Worst Picture,Anaconda,,0,
1997,Worst Picture,Crash,,0,
1997,Worst Picture,Lost Highway,,1,
1997,Worst Picture,The Lost World: Jurassic Park,,0,
1997,Worst Picture,Playing God,,0,
