YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
2000,Top Ten,`,,1,
2000,Top Ten,`,,2,
2000,Top Ten,`,,3,
2000,Top Ten,`,,4,
2000,Top Ten,`,,5,
2000,Top Ten,`,,6,
2000,Top Ten,`,,7,
2000,Top Ten,`,,8,
2000,Top Ten,`,,9,
2000,Top Ten,`,,10,
2000,Top Ten,`,,10,
2000,Top Ten,`,,12,
2000,Top Ten,`,,13,
2000,Top Ten,`,,14,
2000,Top Ten,`,,15,
2000,Best Picture,American Psycho,,0,
2000,Best Picture,The Color of Paradise,,0,
2000,Best Picture,George Washington,,1,
2000,Best Picture,Requiem for a Dream,,0,
2000,Best Picture,Unbreakable,,0,
2000,Best Actor,American Psycho,Christian Bale,1,
2000,Best Actor,Jesus' Son,Billy Crudup,0,
2000,Best Actor,Wonder Boys,Michael Douglas,0,
2000,Best Actor,Cast Away,Tom Hanks,0,
2000,Best Actor,Requiem for a Dream,Jared Leto,0,
2000,Best Actor,Quills,Geoffrey Rush,0,
2000,Best Actress,The Contender,Joan Allen,0,
2000,Best Actress,Requiem for a Dream,Ellen Burstyn,1,
2000,Best Actress,Almost Famous,Kate Hudson,0,
2000,Best Actress,You Can Count on Me,Laura Linney,0,
2000,Best Actress,Crouching Tiger Hidden Dragon,Michelle Yeoh,1,
2000,Best Supporting Actor,Almost Famous,Billy Crudup,0,
2000,Best Supporting Actor,Traffic,Benicio Del Toro,1,
2000,Best Supporting Actor,Wonder Boys,Robert Downey Jr.,0,
2000,Best Supporting Actor,Wonder Boys,Tobey Maguire,0,
2000,Best Supporting Actor,The Contender,Gary Oldman,0,
2000,Best Supporting Actor,Requiem for a Dream,Marlon Wayans,0,
2000,Best Supporting Actress,Requiem for a Dream,Jennifer Connelly,0,
2000,Best Supporting Actress,Pollock,Marcia Gay Harden,0,
2000,Best Supporting Actress,Almost Famous,Frances McDormand,1,
2000,Best Supporting Actress,Small Time Crooks,Elaine May,0,
2000,Best Supporting Actress,Traffic,Catherine Zeta-Jones,0,
2000,Best Director,Requiem for a Dream,Darren Aronofsky,0,
2000,Best Director,George Washington,David Gordon Green,1,
2000,Best Director,Crouching Tiger Hidden Dragon,Ang Lee,0,
2000,Best Director,The Color of Paradise,Majid Majidi,0,
2000,Best Director,Unbreakable,M. Night Shyamalan,0,
2000,Best Director,Traffic,Steven Soderbergh,0,
2000,Best Cinematography,Crouching Tiger Hidden Dragon,Peter Pau,0,
2000,Best Cinematography,George Washington,Tim Orr,0,
2000,Best Cinematography,O Brother Where Art Thou?,Roger Deakins,0,
2000,Best Cinematography,Requiem for a Dream,Matthew Libatique,1,
2000,Best Cinematography,Traffic,Steven Soderbergh,0,
2000,Best Cinematography,Unbreakable,Eduardo Serra,0,
2000,Best Original Screenplay,Almost Famous,Cameron Crowe,1,
2000,Best Original Screenplay,Boiler Room,Ben Younger,0,
2000,Best Original Screenplay,The Color of Paradise,Majid Majidi,0,
2000,Best Original Screenplay,The Contender,Rod Lurie,0,
2000,Best Original Screenplay,George Washington,David Gordon Green,0,
2000,Best Original Screenplay,Unbreakable,M. Night Shyamalan,0,
2000,Best Adapted Screenplay,American Psycho,Mary Harron,1,
2000,Best Adapted Screenplay,Chocolat,Robert Nelson Jacobs,0,
2000,Best Adapted Screenplay,Requiem for a Dream,Hubert Selby Jr.|Darren Aronofsky,0,
2000,Best Adapted Screenplay,Traffic,Stephen Gaghan,0,
2000,Best Adapted Screenplay,Thirteen Days,David Self,0,
2000,Best Adapted Screenplay,Wonder Boys,Steve Kloves,0,
2000,Best Documentary,The Filth and the Fury,,0,
2000,Best Documentary,My Best Fiend,,0,
2000,Best Documentary,Paradise Lost 2: Revelations,,1,
2000,Best Foreign Language Film,The Color of Paradise,,1,
2000,Best Foreign Language Film,Crouching Tiger Hidden Dragon,,0,
2000,Best Foreign Language Film,My Best Fiend,,0,
2000,Worst Picture,The Adventures of God,,0,
2000,Worst Picture,The Five Senses,,0,
2000,Worst Picture,Road Trip,,1,
2000,Worst Picture,Vertical Limit,,0,
