100 Greatest Movies (2005)|Tyler Hayes|1986|Ferris Bueller's Day Off|70
100 Greatest Movies (2005)|Tyler Hayes|1952|Singin' in the Rain|71
100 Greatest Movies (2005)|Tyler Hayes|1994|Forrest Gump|72
100 Greatest Movies (2005)|Tyler Hayes|1962|The Manchurian Candidate|73
100 Greatest Movies (2005)|Tyler Hayes|1988|Grave of the Fireflies|74
100 Greatest Movies (2005)|Tyler Hayes|1998|Rushmore|75
100 Greatest Movies (2005)|Tyler Hayes|1980|Ordinary People|76
100 Greatest Movies (2005)|Tyler Hayes|1997|The Apostle|77
100 Greatest Movies (2005)|Tyler Hayes|1969|Easy Rider|78
100 Greatest Movies (2005)|Tyler Hayes|1959|The Virgin Spring|79
100 Greatest Movies (2005)|Tyler Hayes|1999|Princess Mononoke|80
100 Greatest Movies (2005)|Tyler Hayes|1983|Fanny & Alexander|81
100 Greatest Movies (2005)|Tyler Hayes|1994|Dumb and Dumber|82
100 Greatest Movies (2005)|Tyler Hayes|1993|Jurassic Park|83
100 Greatest Movies (2005)|Tyler Hayes|1967|In the Heat of the Night|84
100 Greatest Movies (2005)|Tyler Hayes|1939|It Happened One Night|85
100 Greatest Movies (2005)|Tyler Hayes|1968|Who's Afraid of Virginia Woolf?|86
100 Greatest Movies (2005)|Tyler Hayes|2000|George Washington|87
100 Greatest Movies (2005)|Tyler Hayes|1957|12 Angry Men|88
100 Greatest Movies (2005)|Tyler Hayes|1969|Butch Cassidy and the Sundance Kid|89
100 Greatest Movies (2005)|Tyler Hayes|1995|The Usual Suspects|90
100 Greatest Movies (2005)|Tyler Hayes|1982|Fitzcarraldo|91
100 Greatest Movies (2005)|Tyler Hayes|1954|Seven Samurai|92
100 Greatest Movies (2005)|Tyler Hayes|1966|Blow-Up|93
100 Greatest Movies (2005)|Tyler Hayes|1962|Days of Wine and Roses|94
100 Greatest Movies (2005)|Tyler Hayes|2000|Requiem for a Dream|95
100 Greatest Movies (2005)|Tyler Hayes|1985|The Purple Rose of Cairo|96
100 Greatest Movies (2005)|Tyler Hayes|1996|Secrets & Lies|97
100 Greatest Movies (2005)|Tyler Hayes|1999|Children of Heaven|98
100 Greatest Movies (2005)|Tyler Hayes|1967|In Cold Blood|99
100 Greatest Movies (2005)|Tyler Hayes|1955|East of Eden|100
