YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
2003,Best Picture,American Splendor,,0,
2003,Best Picture,Elephant,,1,
2003,Best Picture,The Lord of the Rings: The Return of the King,,0,
2003,Best Picture,Mystic River,,0,
2003,Best Picture,School of Rock,,0,
2003,Best Actor,School of Rock,Jack Black,0,
2003,Best Actor,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0,
2003,Best Actor,American Splendor,Paul Giamatti,1,
2003,Best Actor,House of Sand and Fog,Ben Kingsley,0,
2003,Best Actor,Owning Mahowny,Philip Seymour Hoffman,0,
2003,Best Actor,Mystic River,Sean Penn,0,
2003,Best Actress,Irreversible,Monica Bellucci,0,
2003,Best Actress,Whale Rider,Keisha Castle-Hughes,0,
2003,Best Actress,House of Sand and Fog,Jennifer Connelly,0,
2003,Best Actress,Girl with a Pearl Earring|Lost in Translation,Scarlett Johansson,0,
2003,Best Actress,Monster,Charlize Theron,1,
2003,Best Actress,21 Grams,Naomi Watts,0,
2003,Best Supporting Actor,Master and Commander: The Far Side of the World,Paul Bettany,0,
2003,Best Supporting Actor,21 Grams,Benicio Del Toro,1,
2003,Best Supporting Actor,American Splendor,Judah Friedlander,0,
2003,Best Supporting Actor,Cold Mountain,Philip Seymour Hoffman,0,
2003,Best Supporting Actor,The Company,Malcolm McDowell,0,
2003,Best Supporting Actor,Mystic River,Tim Robbins,0,
2003,Best Supporting Actress,The Station Agent,Patricia Clarkson,0,
2003,Best Supporting Actress,School of Rock,Joan Cusack,0,
2003,Best Supporting Actress,American Splendor,Hope Davis,0,
2003,Best Supporting Actress,Spider,Miranda Richardson,0,
2003,Best Supporting Actress,The Magdalene Sisters,Eileen Walsh,0,
2003,Best Supporting Actress,Cold Mountain,Renee Zellweger,1,
2003,Best Director,American Splendor,Shari Springer Berman|Robert Pulcini,0,
2003,Best Director,Mystic River,Clint Eastwood,0,
2003,Best Director,The Lord of the Rings: The Return of the King,Peter Jackson,1,
2003,Best Director,Capturing the Friedmans,Andrew Jarecki,0,
2003,Best Director,Elephant,Gus Van Sant,0,
2003,Best Cinematography,Equilibrium,Dion Beebe,0,
2003,Best Cinematography,Irreversible,Benoit Debie|Gaspar Noe,0,
2003,Best Cinematography,The Lord of the Rings: The Return of the King,Andrew Lesnie,1,
2003,Best Cinematography,Northfork,M. David Mullen,0,
2003,Best Cinematography,Open Range,James Muro,0,
2003,Best Cinematography,Winged Migration,Olli Barbe|Michel Benjamin|Sylvie Carcedo|Laurent Charbonnier|Luc Drion|Laurent Fleutot|Philippe Garguil|Dominique Gentil|Bernard Lutic|Thierry Machado|Stephane Martin|Fabrice Moindrot|Ernst Sasse|Michel Terrasse|Thierry Thomas,0,
2003,Best Original Screenplay,All the Real Girls,David Gordon Green,0,
2003,Best Original Screenplay,Elephant,Gus Van Sant,0,
2003,Best Original Screenplay,Northfork,Michael and Mark Polish,0,
2003,Best Original Screenplay,School of Rock,Mike White,1,
2003,Best Original Screenplay,The Station Agent,Thomas McCarthy,0,
2003,Best Original Screenplay,The Triplets of Belleville,Sylvain Chomet,0,
2003,Best Adapted Screenplay,American Splendor,Shari Springer Berman|Robert Pulcini,0,
2003,Best Adapted Screenplay,The Lord of the Rings: The Return of the King,Fran Walsh|Philippa Boyens|Peter Jackson,0,
2003,Best Adapted Screenplay,Master and Commander: The Far Side of the World,Peter Weir|John Collee,0,
2003,Best Adapted Screenplay,Mystic River,Brian Helgeland,1,
2003,Best Adapted Screenplay,The Secret Lives of Dentists,Craig Lucas,0,
2003,Best Documentary,Capturing the Friedmans,,1,
2003,Best Documentary,The Fog of War,,0,
2003,Best Documentary,Spellbound,,0,
2003,Best Documentary,Winged Migration,,0,
2003,Worst Picture,Dreamcatcher,,1,
2003,Worst Picture,Elf,,0,
2003,Worst Picture,Gigli,,0,
2003,Worst Picture,Hulk,,0,
2003,Worst Picture,The Human Stain,,0,
2003,Worst Picture,Old School,,0,
2003,Best Scene,The Lord of the Rings: The Return of the King,,0,The Mouth of Sauron
2003,Best Scene,The Lord of the Rings: The Return of the King,,0,Faromir Sent to Defend Osgiliath
2003,Best Scene,School of Rock,,0,The Legend of the Rent
2003,Best Scene,School of Rock,,0,The First Day of School
2003,Best Scene,Mystic River,,0,Is That My Duaghter in There?
2003,Best Scene,Mystic River,,0,Jimmy and Dave by the Mystic
2003,Best Scene,American Splendor,,0,The Revenge of the Nerds
2003,Best Scene,American Splendor,,0,Paul and Judah to Harvey and Toby
2003,Best Scene,American Splendor,,0,In Line at the Grocery Store
2003,Best Scene,Finding Nemo,,0,Riding the Eastern Australian Current
2003,Best Scene,Finding Nemo,,0,Fish are Friends
2003,Best Scene,21 Grams,,0,This is Hell
2003,Best Scene,Monster,,0,Aileen's Last John
2003,Best Scene,Anger Management,,0,I Am Calm
2003,Best Scene,Evil Alien Conquerors,,0,Belly Twister
2003,Best Scene,The Matrix Reloaded,,1,The Architect
