1939,Best Picture,Of Mice and Men,Hal Roach (production company),0
1939,Best Picture,Dark Victory,Warner Bros.-First National,0
1939,Best Picture,Ninotchka,Metro-Goldwyn-Mayer,0
1939,Best Picture,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,0
1940,Best Picture,Foreign Correspondent,Walter Wanger (production company),0
1940,Best Picture,The Long Voyage Home,Argosy-Wanger,0
1940,Best Picture,Kitty Foyle,RKO Radio,0
1940,Best Picture,"All This, and Heaven Too",Warner Bros.,0
1940,Best Picture,Rebecca,Selznick International Pictures,1
1940,Best Picture,The Letter,Warner Bros.,0
1940,Best Picture,The Philadelphia Story,Metro-Goldwyn-Mayer,0
1940,Best Picture,The Great Dictator,Charlie Chaplin Productions,0
1940,Best Picture,Our Town,Sol Lesser (production company),0
1940,Best Picture,The Grapes of Wrath,20th Century-Fox,0
1941,Best Picture,One Foot in Heaven,Warner Bros.,0
1941,Best Picture,Hold Back the Dawn,Paramount,0
1941,Best Picture,Here Comes Mr. Jordan,Columbia,0
1941,Best Picture,The Little Foxes,Samuel Goldwyn Productions,0
1941,Best Picture,The Maltese Falcon,Warner Bros.,0
1941,Best Picture,Blossoms in the Dust,Metro-Goldwyn-Mayer,0
1941,Best Picture,Suspicion,RKO Radio,0
1941,Best Picture,Citizen Kane,Mercury,0
1941,Best Picture,Sergeant York,Warner Bros.,0
1941,Best Picture,How Green Was My Valley,20th Century-Fox,1
1942,Best Picture,The Pied Piper,20th Century-Fox,0
1942,Best Picture,The Pride of the Yankees,Samuel Goldwyn Productions,0
1942,Best Picture,The Talk of the Town,Columbia,0
1942,Best Picture,49th Parallel,Ortus,0
1942,Best Picture,Yankee Doodle Dandy,Warner Bros.,0
1942,Best Picture,Kings Row,Warner Bros.,0
1942,Best Picture,Random Harvest,Metro-Goldwyn-Mayer,0
1942,Best Picture,Wake Island,Paramount,0
1942,Best Picture,The Magnificent Ambersons,Mercury,0
1942,Best Picture,Mrs. Miniver,Metro-Goldwyn-Mayer,1
1943,Best Picture,Heaven Can Wait,20th Century-Fox,0
1943,Best Picture,Madame Curie,Metro-Goldwyn-Mayer,0
1943,Best Picture,The Ox-Bow Incident,20th Century-Fox,0
1943,Best Picture,For Whom the Bell Tolls,Paramount,0
1943,Best Picture,Casablanca,Warner Bros.,1
1943,Best Picture,The More the Merrier,Columbia,0
1943,Best Picture,The Song of Bernadette,20th Century-Fox,0
1943,Best Picture,In Which We Serve,Two Cities,0
1943,Best Picture,The Human Comedy,Metro-Goldwyn-Mayer,0
1943,Best Picture,Watch on the Rhine,Warner Bros.,0
1944,Best Picture,Gaslight,Metro-Goldwyn-Mayer,0
1944,Best Picture,Wilson,20th Century-Fox,0
1944,Best Picture,Double Indemnity,Paramount,0
1944,Best Picture,Since You Went Away,Selznick International Pictures,0
1944,Best Picture,Going My Way,Paramount,1
1945,Best Picture,The Lost Weekend,Paramount,1
1945,Best Picture,Anchors Aweigh,Metro-Goldwyn-Mayer,0
1945,Best Picture,Spellbound,Selznick International Pictures,0
1945,Best Picture,Mildred Pierce,Warner Bros.,0
1945,Best Picture,The Bells of St. Mary's,Rainbow Productions,0
1946,Best Picture,The Yearling,Metro-Goldwyn-Mayer,0
1946,Best Picture,It's a Wonderful Life,Liberty Films,0
1946,Best Picture,The Best Years of Our Lives,Samuel Goldwyn Productions,1
1946,Best Picture,Henry V,J. Arthur Rank-Two Cities Films,0
1946,Best Picture,The Razor's Edge,20th Century-Fox,0
1947,Best Picture,Miracle on 34th Street,20th Century-Fox,0
1947,Best Picture,Crossfire,RKO Radio,0
1947,Best Picture,Great Expectations,J. Arthur Rank-Cineguild,0
1947,Best Picture,The Bishop's Wife,Samuel Goldwyn Productions,0
1947,Best Picture,Gentleman's Agreement,20th Century-Fox,1
1948,Best Picture,Johnny Belinda,Warner Bros.,0
1948,Best Picture,The Snake Pit,20th Century-Fox,0
1948,Best Picture,The Red Shoes,J. Arthur Rank-Archers,0
1948,Best Picture,Hamlet,J. Arthur Rank-Two Cities Films,1
1948,Best Picture,The Treasure of the Sierra Madre,Warner Bros.,0
1949,Best Picture,All the King's Men,Robert Rossen Productions,1
1949,Best Picture,Twelve O'Clock High,20th Century-Fox,0
1949,Best Picture,Battleground,Metro-Goldwyn-Mayer,0
1949,Best Picture,The Heiress,Paramount,0
1949,Best Picture,A Letter to Three Wives,20th Century-Fox,0
1950,Best Picture,Born Yesterday,Columbia,0
1950,Best Picture,King Solomon's Mines,Metro-Goldwyn-Mayer,0
1950,Best Picture,All about Eve,20th Century-Fox,1
1950,Best Picture,Father of the Bride,Metro-Goldwyn-Mayer,0
1950,Best Picture,Sunset Boulevard,Paramount,0
1951,Best Picture,A Place in the Sun,"George Stevens, Producer",0
1951,Best Picture,Quo Vadis,"Sam Zimbalist, Producer",0
1951,Best Picture,An American in Paris,"Arthur Freed, Producer",1
1951,Best Picture,Decision before Dawn,"Anatole Litvak and Frank McCarthy, Producers",0
1951,Best Picture,A Streetcar Named Desire,"Charles K. Feldman, Producer",0
1952,Best Picture,Moulin Rouge,Romulus Films,0
1952,Best Picture,High Noon,"Stanley Kramer, Producer",0
1952,Best Picture,Ivanhoe,"Pandro S. Berman, Producer",0
