YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
2007,Top Ten,No Country For Old Men,,1,
2007,Top Ten,There Will Be Blood,,2,
2007,Top Ten,3:10 to Yuma,,3,
2007,Top Ten,Lars and the Real Girl,,4,
2007,Top Ten,Michael Clayton,,5,
2007,Top Ten,Sweeney Todd: The Demon Barber of Fleet Street,,6,
2007,Top Ten,Gone Baby Gone,,7,
2007,Top Ten,Zodiac,,8,
2007,Top Ten,The Mist,,9,
2007,Top Ten,The Counterfeiters,,10,
2007,Top Ten,The Kite Runner,,11,
2007,Top Ten,Rescue Dawn,,12,
2007,Top Ten,Atonement,,13,
2007,Top Ten,Cassandra's Dream,,14,
2007,Top Ten,The Assassination of Jesse James by the Coward Robert Ford,,15,
2007,Best Picture,3:10 to Yuma,,0,
2007,Best Picture,No country for Old Men,,1,
2007,Best Picture,Lars and the Real Girl,,0,
2007,Best Picture,Michael Clayton,,0,
2007,Best Picture,There Will Be Blood,,0,
2007,Best Actor,3:10 to Yuma|Rescue Dawn,Christian Bale,0,
2007,Best Actor,Michael Clayton,George Clooney,0,
2007,Best Actor,There Will Be Blood,Daniel Day-Lewis,1,
2007,Best Actor,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp,0,
2007,Best Actor,Lars and the Real Girl,Ryan Gosling,0,
2007,Best Actor,Atonement,James McAvoy,0,
2007,Best Actor,Before the Devil Knows You're Dead,Phillip Seymour Hoffman,0,
2007,Best Actress,Elizabeth: The Golden Age,Cate Blanchett,0,
2007,Best Actress,Sweeney Todd: The Demon Barber of Fleet Street,Helena Bohnam Carter,0,
2007,Best Actress,Away From Her,Julie Christie,0,
2007,Best Actress,La Vie En Rose,Marion Cotillard,1,
2007,Best Actress,A Mighty Heart,Angelina Jolie,0,
2007,Best Actress,Atonement,Keira Knightley,0,
2007,Best Supporting Actor,The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck,0,
2007,Best Supporting Actor,No Country for Old Men,Javier Bardem,1,
2007,Best Supporting Actor,There Will Be Blood,Paul Dano,0,
2007,Best Supporting Actor,Rescue Dawn,Jeremy Davies,0,
2007,Best Supporting Actor,The Kite Runner,Homayoun Ershadi,0,
2007,Best Supporting Actor,Cassandra's Dream,Colin Farrel,0,
2007,Best Supporting Actor,Gone Baby Gone,Ed Harris,0,
2007,Best Supporting Actor,The Mist,Toby Jones,0,
2007,Best Supporting Actor,Michael Clayton,Tom Wilkinson,0,
2007,Best Supporting Actor,Rescue Dawn,Steve Zahn,0,
2007,Best Supporting Actress,The Mist,Marcia Gay Harden,0,
2007,Best Supporting Actress,Lars and the Real Girl,Emily Mortimer,0,
2007,Best Supporting Actress,Atonement,Saoirse Ronan,0,
2007,Best Supporting Actress,Gone Baby Gone,Amy Ryan,0,
