YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
2009,Top Ten,Moon,,1,
2009,Top Ten,The Hurt Locker,,2,
2009,Top Ten,Fantastic Mr. Fox,,3,
2009,Top Ten,Where the Wild Things Are,,4,
2009,Top Ten,Up,,5,
2009,Top Ten,Ponyo,,6,
2009,Top Ten,Inglorious Basterds,,7,
2009,Top Ten,The Informant!,,8,
2009,Top Ten,The September Issue,,9,
2009,Top Ten,Up in the Air,,10,
2009,Top Ten,The Cove,,11,
2009,Top Ten,A Christmas Carol,,12,
2009,Top Ten,Goodbye Solo,,13,
2009,Top Ten,Avatar,,14,
2009,Top Ten,The Road,,15,
2009,Best Picture,Fantastic Mr. Fox,,0,
2009,Best Picture,The Hurt Locker,,0,
2009,Best Picture,Moon,,1,
2009,Best Picture,Up,,0,
2009,Best Picture,Where the Wild Things Are,,0,
2009,Best Actor,Crazy Heart,Jeff Bridges,0,
2009,Best Actor,The Informant!,Matt Damon,0,
2009,Best Actor,Invictus,Morgan Freeman,0,
2009,Best Actor,That Evening Sun,Hal Holbrook,0,
2009,Best Actor,The Great Buck Howard,John Malkovich,0,
2009,Best Actor,The Road,Viggo Mortensen,0,
2009,Best Actor,The Hurt Locker,Jeremy Renner,0,
2009,Best Actor,Moon,Sam Rockwell,1,
2009,Best Actress,The Blind Side,Sandra Bullock,0,
2009,Best Actress,An Education,Carey Mulligan,0,
2009,Best Actress,Precious,Gabourey Sidibe,0,
2009,Best Actress,Julie & Julia,Meryl Streep,1,
2009,Best Supporting Actor,Invictus,Matt Damon,0,
2009,Best Supporting Actor,17 Again,Thomas Lennon,0,
2009,Best Supporting Actor,That Evening Sun,Ray McKinnon,0,
2009,Best Supporting Actor,The Lovely Bones,Stanley Tucci,0,
2009,Best Supporting Actor,Inglorious Basterds,Christoph Waltz,1,
2009,Best Supporting Actress,The White Ribbon,Leonie Benesch,0,
2009,Best Supporting Actress,Precious,Mariah Carey,0,
2009,Best Supporting Actress,Up in the Air,Anna Kendrick,0,
2009,Best Supporting Actress,Crazy Heart,Maggie Gyllenhaal,0,
2009,Best Supporting Actress,The White Ribbon,Susanne Lothar,0,
2009,Best Supporting Actress,Precious,Mo'Nique,1,
2009,Best Director,Fantastic Mr. Fox,Wes Anderson,0,
2009,Best Director,Moon,Duncan Jones,1,
2009,Best Director,Where the Wild Things Are,Spike Jonze,0,
2009,Best Director,Ponyo,Hayao Miyazaki,0,
2009,Best Director,Inglorious Basterds,Quentin Tarantino,0,
2009,Best Cinematography,Avatar,Mauro Fiore,1,
2009,Best Cinematography,A Christmas Carol,Robert Presley,0,
2009,Best Cinematography,Fantastic Mr. Fox,Tristan Oliver,0,
2009,Best Cinematography,Harry Potter and the Half-Blood Prince,Bruno Delbonnel,0,
2009,Best Cinematography,Inglorious Basterds,Robert Richardson,0,
2009,Best Cinematography,Moon,Gary Shaw,0,
2009,Best Cinematography,The Road,Javier Aguirresarobe,0,
2009,Best Cinematography,Where the Wild Things Are,Lance Acord,0,
2009,Best Cinematography,The White Ribbon,Christian Berger,0,
2009,Best Original Screenplay,Goodbye Solo,Ramin Bahrani|Bahareh Azimi,0,
2009,Best Original Screenplay,The Hurt Locker,Mark Boal,0,
2009,Best Original Screenplay,Inglorious Basterds,Quentin Tarantino,0,
2009,Best Original Screenplay,Moon,Nathan Parker,1,
2009,Best Original Screenplay,Up in the Air,Jason Reitman|Sheldon Turner,0,
2009,Best Adapted Screenplay,Crazy Heart,Scott Cooper,0,
2009,Best Adapted Screenplay,Fantastic Mr. Fox,Wes Anderson|Noah Baumbach,1,
2009,Best Adapted Screenplay,The Informant!,Scott Z. Burns,0,
2009,Best Adapted Screenplay,Julie & Julia,Nora Ephron,0,
2009,Best Adapted Screenplay,Where the Wild Things Are,Spike Jonze|Dave Eggers,0,
2009,Best Scene,Fantastic Mr. Fox,,0,The Rules of Whack-Bat
2009,Best Scene,Fantastic Mr. Fox,,0,A Go-For-Broke Rescue Mission
2009,Best Scene,The Hurt Locker,,0,The Sniper Battle
2009,Best Scene,Inglorious Basterds,,1,Chapter 1
2009,Best Scene,The Lovely Bones,,0,Inside Mr. Harvey's House
2009,Best Scene,Moon,,0,Who Are You?
2009,Best Scene,The Road,,0,Using a Bullet
2009,Best Scene,Where the Wild Things Are,,0,The Dirt Clod Fight
