Year,Category,Nominee,Additional Info,Won?
1929/30,ACTRESS,Norma Shearer,"The Divorcee {Jerry""}""",YES
1929/30,ACTRESS,Norma Shearer,"Their Own Desire {Lucia 'Lally' Marlett""}""",NO
1929/30,ACTRESS,Gloria Swanson,"The Trespasser {Marion Donnell""}""",NO
1929/30,ACTRESS,Ruth Chatterton,"Sarah and Son {Sarah Storm""}""",NO
1929/30,ACTRESS,Greta Garbo,"Anna Christie {Anna Christie""}; and Romance {""Madame Rita Cavallini""}""",NO
1929/30,ART DIRECTION,The Love Parade,(Hans Dreier),NO
1929/30,ART DIRECTION,Bulldog Drummond,(William Cameron Menzies),NO
1929/30,ART DIRECTION,King of Jazz,Herman Rosse,YES
1929/30,ART DIRECTION,Sally,(Jack Okey),NO
1929/30,ART DIRECTION,The Vagabond King,(Hans Dreier),NO
1929/30,CINEMATOGRAPHY,Anna Christie,(William Daniels),NO
1929/30,CINEMATOGRAPHY,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)",NO
1929/30,CINEMATOGRAPHY,The Love Parade,(Victor Milner),NO
1929/30,CINEMATOGRAPHY,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer",YES
1929/30,CINEMATOGRAPHY,All Quiet on the Western Front,(Arthur Edeson),NO
1929/30,DIRECTING,Robert Leonard,The Divorcee,NO
1929/30,DIRECTING,King Vidor,Hallelujah,NO
1929/30,DIRECTING,Lewis Milestone,All Quiet on the Western Front,YES
1929/30,DIRECTING,Clarence Brown,Anna Christie; and Romance,NO
1929/30,DIRECTING,Ernst Lubitsch,The Love Parade,NO
1929/30,OUTSTANDING PRODUCTION,The Love Parade,Paramount Famous Lasky,NO
1929/30,OUTSTANDING PRODUCTION,The Big House,Cosmopolitan,NO
1929/30,OUTSTANDING PRODUCTION,Disraeli,Warner Bros.,NO
1929/30,OUTSTANDING PRODUCTION,The Divorcee,Metro-Goldwyn-Mayer,NO
1929/30,OUTSTANDING PRODUCTION,All Quiet on the Western Front,Universal,YES
1929/30,SOUND RECORDING,The Case of Sergeant Grischa,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",NO
1929/30,SOUND RECORDING,Raffles,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",NO
1929/30,SOUND RECORDING,The Love Parade,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",NO
1929/30,SOUND RECORDING,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",YES
1929/30,SOUND RECORDING,Song of the Flame,"(First National Studio Sound Department, George Groves, Sound Director)",NO
1929/30,WRITING,Street of Chance,(Howard Estabrook),NO
1929/30,WRITING,Disraeli,(Julian Josephson),NO
1929/30,WRITING,The Divorcee,(John Meehan),NO
1929/30,WRITING,The Big House,Frances Marion,YES
1929/30,WRITING,All Quiet on the Western Front,"(George Abbott), (Maxwell Anderson), (Del Andrews)",NO
1930/31,ACTOR,Fredric March,"The Royal Family of Broadway {Tony Cavendish""}""",NO
1930/31,ACTOR,Richard Dix,"Cimarron {Yancey Cravat""}""",NO
1930/31,ACTOR,Lionel Barrymore,"A Free Soul {Stephen Ashe""}""",YES
1930/31,ACTOR,Adolphe Menjou,"The Front Page {Walter Burns""}""",NO
1930/31,ACTOR,Jackie Cooper,"Skippy {Skippy Skinner""}""",NO
1930/31,ACTRESS,Marie Dressler,"Min and Bill {Min""}""",YES
1930/31,ACTRESS,Norma Shearer,"A Free Soul {Jan Ashe""}""",NO
1930/31,ACTRESS,Irene Dunne,"Cimarron {Sabra Cravat""}""",NO
1930/31,ACTRESS,Ann Harding,"Holiday {Linda Seton""}""",NO
1930/31,ACTRESS,Marlene Dietrich,"Morocco {Amy Jolly""}""",NO
1930/31,ART DIRECTION,Cimarron,Max Ree,YES
1930/31,ART DIRECTION,Morocco,Hans Dreier,NO
1930/31,ART DIRECTION,Just Imagine,"Stephen Goosson, Ralph Hammeras",NO
1930/31,ART DIRECTION,Svengali,Anton Grot,NO
1930/31,ART DIRECTION,Whoopee!,Richard Day,NO
1930/31,CINEMATOGRAPHY,Tabu,Floyd Crosby,YES
1930/31,CINEMATOGRAPHY,The Right to Love,Charles Lang,NO
1930/31,CINEMATOGRAPHY,Svengali,Barney 'Chick' McGill,NO
1930/31,CINEMATOGRAPHY,Morocco,Lee Garmes,NO
1930/31,CINEMATOGRAPHY,Cimarron,Edward Cronjager,NO
1930/31,DIRECTING,The Front Page,Lewis Milestone,NO
1930/31,DIRECTING,Morocco,Josef Von Sternberg,NO
1930/31,DIRECTING,Cimarron,Wesley Ruggles,NO
