Year,Category,Nominee,Additional Info,Won?
1937,WRITING (Original Story),The Life of Emile Zola,"Heinz Herald, Geza Herczeg",NO
1937,WRITING (Original Story),Black Legion,Robert Lord,NO
1937,WRITING (Screenplay),The Life of Emile Zola,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",YES
1937,WRITING (Screenplay),A Star Is Born,"Dorothy Parker, Alan Campbell, Robert Carson",NO
1937,WRITING (Screenplay),The Awful Truth,Vina Delmar,NO
1937,WRITING (Screenplay),Stage Door,"Morris Ryskind, Anthony Veiller",NO
1937,WRITING (Screenplay),Captains Courageous,"John Lee Mahin, Marc Connelly, Dale Van Every",NO
1938,ACTOR,Leslie Howard,"Pygmalion {Professor Henry Higgins""}""",NO
1938,ACTOR,Spencer Tracy,"Boys Town {Father Flanagan""}""",YES
1938,ACTOR,Robert Donat,"The Citadel {Andrew Mason""}""",NO
1938,ACTOR,James Cagney,"Angels with Dirty Faces {Rocky Sullivan""}""",NO
1938,ACTOR,Charles Boyer,"Algiers {Pepe Le Moko""}""",NO
1938,ACTOR IN A SUPPORTING ROLE,Basil Rathbone,"If I Were King {Louis XI""}""",NO
1938,ACTOR IN A SUPPORTING ROLE,Gene Lockhart,"Algiers {Regis""}""",NO
1938,ACTOR IN A SUPPORTING ROLE,John Garfield,"Four Daughters {Mickey Borden""}""",NO
1938,ACTOR IN A SUPPORTING ROLE,Walter Brennan,"Kentucky {Peter Goodwin""}""",YES
1938,ACTOR IN A SUPPORTING ROLE,Robert Morley,"Marie Antoinette {King Louis XVI""}""",NO
1938,ACTRESS,Wendy Hiller,"Pygmalion {Eliza Doolittle""}""",NO
1938,ACTRESS,Margaret Sullavan,"Three Comrades {Pat Hollmann""}""",NO
1938,ACTRESS,Bette Davis,"Jezebel {Julie Morrison""}""",YES
1938,ACTRESS,Norma Shearer,"Marie Antoinette {Marie Antoinette""}""",NO
1938,ACTRESS,Fay Bainter,"White Banners {Hannah""}""",NO
1938,ACTRESS IN A SUPPORTING ROLE,Spring Byington,"You Can't Take It with You {Penny Sycamore""}""",NO
1938,ACTRESS IN A SUPPORTING ROLE,Beulah Bondi,"Of Human Hearts {Mary Wilkins""}""",NO
1938,ACTRESS IN A SUPPORTING ROLE,Billie Burke,"Merrily We Live {Mrs. Emily Kilbourne""}""",NO
1938,ACTRESS IN A SUPPORTING ROLE,Miliza Korjus,"The Great Waltz {Carla Donner""}""",NO
1938,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,"Jezebel {Aunt Belle Massey""}""",YES
1938,ART DIRECTION,The Adventures of Robin Hood,Carl J. Weyl,YES
1938,ART DIRECTION,The Adventures of Tom Sawyer,Lyle Wheeler,NO
1938,ART DIRECTION,Merrily We Live,Charles D. Hall,NO
1938,ART DIRECTION,Mad about Music,Jack Otterson,NO
1938,ART DIRECTION,Marie Antoinette,Cedric Gibbons,NO
1938,ART DIRECTION,Holiday,"Stephen Goosson, Lionel Banks",NO
1938,ART DIRECTION,Algiers,Alexander Toluboff,NO
1938,ART DIRECTION,If I Were King,"Hans Dreier, John Goodman",NO
1938,ART DIRECTION,Alexander's Ragtime Band,"Bernard Herzbrun, Boris Leven",NO
1938,ART DIRECTION,The Goldwyn Follies,Richard Day,NO
1938,ART DIRECTION,Carefree,Van Nest Polglase,NO
1938,CINEMATOGRAPHY,You Can't Take It with You,Joseph Walker,NO
1938,CINEMATOGRAPHY,Suez,Peverell Marley,NO
1938,CINEMATOGRAPHY,The Great Waltz,Joseph Ruttenberg,YES
1938,CINEMATOGRAPHY,Merrily We Live,Norbert Brodine,NO
1938,CINEMATOGRAPHY,Mad about Music,Joseph Valentine,NO
1938,CINEMATOGRAPHY,The Young in Heart,Leon Shamroy,NO
1938,CINEMATOGRAPHY,Jezebel,Ernest Haller,NO
1938,CINEMATOGRAPHY,The Buccaneer,Victor Milner,NO
1938,CINEMATOGRAPHY,Army Girl,"Ernest Miller, Harry Wild",NO
1938,CINEMATOGRAPHY,Algiers,James Wong Howe,NO
1938,CINEMATOGRAPHY,Vivacious Lady,Robert de Grasse,NO
1938,DIRECTING,Angels with Dirty Faces,Michael Curtiz,NO
1938,DIRECTING,Four Daughters,Michael Curtiz,NO
1938,DIRECTING,The Citadel,King Vidor,NO
1938,DIRECTING,You Can't Take It with You,Frank Capra,YES
1938,DIRECTING,Boys Town,Norman Taurog,NO
1938,FILM EDITING,Alexander's Ragtime Band,Barbara McLean,NO
1938,FILM EDITING,Test Pilot,Tom Held,NO
1938,FILM EDITING,The Adventures of Robin Hood,Ralph Dawson,YES
1938,FILM EDITING,You Can't Take It with You,Gene Havlick,NO
1938,FILM EDITING,The Great Waltz,Tom Held,NO
1938,IRVING G. THALBERG MEMORIAL AWARD,Walter Wanger,,NO
1938,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,,YES
1938,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,,NO
1938,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,,NO
1938,IRVING G. THALBERG MEMORIAL AWARD,Hunt Stromberg,,NO
1938,IRVING G. THALBERG MEMORIAL AWARD,Samuel Goldwyn,,NO
1938,IRVING G. THALBERG MEMORIAL AWARD,Joe Pasternak,,NO
1938,MUSIC (Original Score),Suez,Louis Silvers,NO
1938,MUSIC (Original Score),Breaking the Ice,Victor Young,NO
1938,MUSIC (Original Score),Army Girl,Victor Young,NO
1938,MUSIC (Original Score),The Young in Heart,Franz Waxman,NO
1938,MUSIC (Original Score),Blockade,Werner Janssen,NO
1938,MUSIC (Original Score),The Cowboy and the Lady,Alfred Newman,NO
1938,MUSIC (Original Score),Marie Antoinette,Herbert Stothart,NO
1938,MUSIC (Original Score),If I Were King,Richard Hageman,NO
1938,MUSIC (Original Score),Block-Heads,Marvin Hatley,NO
1938,MUSIC (Original Score),The Adventures of Robin Hood,Erich Wolfgang Korngold,YES
1938,MUSIC (Original Score),Pacific Liner,Russell Bennett,NO
1938,MUSIC (Scoring),Alexander's Ragtime Band,Alfred Newman,YES
1938,MUSIC (Scoring),Mad about Music,"Charles Previn, Frank Skinner",NO
1938,MUSIC (Scoring),The Young in Heart,Franz Waxman,NO
1938,MUSIC (Scoring),Sweethearts,Herbert Stothart,NO
1938,MUSIC (Scoring),Storm over Bengal,Cy Feuer,NO
1938,MUSIC (Scoring),Jezebel,Max Steiner,NO
1938,MUSIC (Scoring),Tropic Holiday,Boris Morros,NO
1938,MUSIC (Scoring),Carefree,Victor Baravalle,NO
1938,MUSIC (Scoring),The Goldwyn Follies,Alfred Newman,NO
1938,MUSIC (Scoring),There Goes My Heart,Marvin Hatley,NO
1938,MUSIC (Scoring),Girls' School,"Morris Stoloff, Gregory Stone",NO
1938,MUSIC (Song),"A Mist over the Moon"" from The Lady Objects""",Music by Ben Oakland; Lyrics by Oscar Hammerstein II,NO
1938,MUSIC (Song),"Now It Can Be Told"" from Alexander's Ragtime Band""",Music and Lyrics by Irving Berlin,NO
1938,MUSIC (Song),"Thanks for the Memory"" from The Big Broadcast of 1938""",Music by Ralph Rainger; Lyrics by Leo Robin,YES
1938,MUSIC (Song),"Merrily We Live"" from Merrily We Live""",Music by Phil Charig; Lyrics by Arthur Quenzer,NO
1938,MUSIC (Song),"Dust"" from Under Western Stars""",Music and Lyrics by Johnny Marvin,NO
1938,MUSIC (Song),"Change Partners"" from Carefree""",Music and Lyrics by Irving Berlin,NO
1938,MUSIC (Song),"My Own"" from That Certain Age""",Music by Jimmy McHugh; Lyrics by Harold Adamson,NO
1938,MUSIC (Song),"Jeepers Creepers"" from Going Places""",Music by Harry Warren; Lyrics by Johnny Mercer,NO
1938,MUSIC (Song),"The Cowboy and the Lady"" from The Cowboy and the Lady""",Music by Lionel Newman; Lyrics by Arthur Quenzer,NO
1938,MUSIC (Song),"Always and Always"" from Mannequin""",Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright,NO
1938,OUTSTANDING PRODUCTION,The Citadel,Metro-Goldwyn-Mayer,NO
1938,OUTSTANDING PRODUCTION,You Can't Take It with You,Columbia,YES
1938,OUTSTANDING PRODUCTION,Jezebel,Warner Bros.,NO
1938,OUTSTANDING PRODUCTION,Boys Town,Metro-Goldwyn-Mayer,NO
1938,OUTSTANDING PRODUCTION,Pygmalion,Metro-Goldwyn-Mayer,NO
1938,OUTSTANDING PRODUCTION,Four Daughters,Warner Bros.-First National,NO
1938,OUTSTANDING PRODUCTION,The Adventures of Robin Hood,Warner Bros.-First National,NO
1938,OUTSTANDING PRODUCTION,Test Pilot,Metro-Goldwyn-Mayer,NO
1938,OUTSTANDING PRODUCTION,Alexander's Ragtime Band,20th Century-Fox,NO
1938,OUTSTANDING PRODUCTION,Grand Illusion,Realization D'Art Cinematographique,NO
1938,SHORT SUBJECT (Cartoon),Mother Goose Goes Hollywood,"Walt Disney, Producer",NO
1938,SHORT SUBJECT (Cartoon),Brave Little Tailor,"Walt Disney, Producer",NO
1938,SHORT SUBJECT (Cartoon),Good Scouts,"Walt Disney, Producer",NO
1938,SHORT SUBJECT (Cartoon),Ferdinand the Bull,"Walt Disney, Producer",YES
1938,SHORT SUBJECT (Cartoon),Hunky and Spunky,Paramount,NO
1938,SHORT SUBJECT (One-reel),That Mothers Might Live,Metro-Goldwyn-Mayer,YES
1938,SHORT SUBJECT (One-reel),The Great Heart,Metro-Goldwyn-Mayer,NO
1938,SHORT SUBJECT (One-reel),Timber Toppers,20th Century-Fox,NO
1938,SHORT SUBJECT (Two-reel),They're Always Caught,Metro-Goldwyn-Mayer,NO
1938,SHORT SUBJECT (Two-reel),Swingtime in the Movies,Warner Bros.,NO
1938,SHORT SUBJECT (Two-reel),Declaration of Independence,Warner Bros.,YES
1938,SOUND RECORDING,You Can't Take It with You,"Columbia Studio Sound Department, John Livadary, Sound Director",NO
1938,SOUND RECORDING,If I Were King,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",NO
1938,SOUND RECORDING,Four Daughters,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",NO
1938,SOUND RECORDING,Merrily We Live,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director",NO
1938,SOUND RECORDING,Vivacious Lady,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",NO
1938,SOUND RECORDING,That Certain Age,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",NO
1938,SOUND RECORDING,The Cowboy and the Lady,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",YES
1938,SOUND RECORDING,Army Girl,"Republic Studio Sound Department, Charles L. Lootens, Sound Director",NO
1938,SOUND RECORDING,Sweethearts,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",NO
1938,SOUND RECORDING,Suez,"20th Century-Fox Studio Sound Department, Edmund H. Hansen, Sound Director",NO
1938,WRITING (Original Story),Mad about Music,"Marcella Burke, Frederick Kohner",NO
1938,WRITING (Original Story),Blockade,John Howard Lawson,NO
1938,WRITING (Original Story),Boys Town,"Dore Schary, Eleanore Griffin",YES
1938,WRITING (Original Story),Angels with Dirty Faces,Rowland Brown,NO
1938,WRITING (Original Story),Test Pilot,Frank Wead,NO
1938,WRITING (Original Story),Alexander's Ragtime Band,Irving Berlin,NO
1938,WRITING (Screenplay),Four Daughters,"Julius J. Epstein, Lenore Coffee",NO
1938,WRITING (Screenplay),The Citadel,"Ian Dalrymple, Frank Wead, Elizabeth Hill",NO
1938,WRITING (Screenplay),You Can't Take It with You,Robert Riskin,NO
1938,WRITING (Screenplay),Boys Town,"John Meehan, Dore Schary",NO
1938,WRITING (Screenplay),Pygmalion,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",YES
1939,ACTOR,Clark Gable,"Gone with the Wind {Rhett Butler""}""",NO
1939,ACTOR,James Stewart,"Mr. Smith Goes to Washington {Jefferson Smith""}""",NO
1939,ACTOR,Laurence Olivier,"Wuthering Heights {Heathcliff""}""",NO
1939,ACTOR,Robert Donat,"Goodbye, Mr. Chips {Arthur Chipping""}""",YES
1939,ACTOR,Mickey Rooney,"Babes in Arms {Mickey Moran""}""",NO
1939,ACTOR IN A SUPPORTING ROLE,Claude Rains,"Mr. Smith Goes to Washington {Senator Joseph Paine""}""",NO
1939,ACTOR IN A SUPPORTING ROLE,Brian Donlevy,"Beau Geste {Sergeant Markoff""}""",NO
1939,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,"Stagecoach {Dr. Josiah Boone""}""",YES
1939,ACTOR IN A SUPPORTING ROLE,Brian Aherne,"Juarez {Emperor Maximilian von Habsburg""}""",NO
1939,ACTOR IN A SUPPORTING ROLE,Harry Carey,"Mr. Smith Goes to Washington {President of the Senate""}""",NO
1939,ACTRESS,Greer Garson,"Goodbye, Mr. Chips {Katherine Chipping""}""",NO
1939,ACTRESS,Bette Davis,"Dark Victory {Judith Traherne""}""",NO
1939,ACTRESS,Vivien Leigh,"Gone with the Wind {Scarlett O'Hara""}""",YES
1939,ACTRESS,Irene Dunne,"Love Affair {Terry McKay""}""",NO
1939,ACTRESS,Greta Garbo,"Ninotchka {Lena Yakushova (Ninotchka)""}""",NO
1939,ACTRESS IN A SUPPORTING ROLE,Geraldine Fitzgerald,"Wuthering Heights {Isabella""}""",NO
1939,ACTRESS IN A SUPPORTING ROLE,Olivia de Havilland,"Gone with the Wind {Melanie Hamilton""}""",NO
1939,ACTRESS IN A SUPPORTING ROLE,Maria Ouspenskaya,"Love Affair {Grandmother, Mme. Marnay""}""",NO
1939,ACTRESS IN A SUPPORTING ROLE,Edna May Oliver,"Drums along the Mohawk {Sarah McKlennar""}""",NO
1939,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,"Gone with the Wind {Mammy""}""",YES
1939,ART DIRECTION,Captain Fury,Charles D. Hall,NO
1939,ART DIRECTION,Man of Conquest,John Victor Mackay,NO
1939,ART DIRECTION,Love Affair,"Van Nest Polglase, Al Herman",NO
1939,ART DIRECTION,The Rains Came,"William Darling, George Dudley",NO
1939,ART DIRECTION,The Private Lives of Elizabeth and Essex,Anton Grot,NO
1939,ART DIRECTION,Gone with the Wind,Lyle Wheeler,YES
1939,ART DIRECTION,Beau Geste,"Hans Dreier, Robert Odell",NO
1939,ART DIRECTION,Stagecoach,Alexander Toluboff,NO
1939,ART DIRECTION,Mr. Smith Goes to Washington,Lionel Banks,NO
1939,ART DIRECTION,First Love,"Jack Otterson, Martin Obzina",NO
1939,ART DIRECTION,The Wizard of Oz,"Cedric Gibbons, William A. Horning",NO
1939,ART DIRECTION,Wuthering Heights,James Basevi,NO
1939,CINEMATOGRAPHY (Black-and-White),The Rains Came,Arthur Miller,NO
1939,CINEMATOGRAPHY (Black-and-White),Lady of the Tropics,George Folsey,NO
1939,CINEMATOGRAPHY (Black-and-White),Of Mice and Men,Norbert Brodine,NO
1939,CINEMATOGRAPHY (Black-and-White),The Great Victor Herbert,Victor Milner,NO
1939,CINEMATOGRAPHY (Black-and-White),Juarez,Tony Gaudio,NO
1939,CINEMATOGRAPHY (Black-and-White),First Love,Joseph Valentine,NO
1939,CINEMATOGRAPHY (Black-and-White),Gunga Din,Joseph H. August,NO
1939,CINEMATOGRAPHY (Black-and-White),Only Angels Have Wings,Joseph Walker,NO
1939,CINEMATOGRAPHY (Black-and-White),Stagecoach,Bert Glennon,NO
1939,CINEMATOGRAPHY (Black-and-White),Wuthering Heights,Gregg Toland,YES
1939,CINEMATOGRAPHY (Black-and-White),Intermezzo,Gregg Toland,NO
1939,CINEMATOGRAPHY (Color),The Private Lives of Elizabeth and Essex,"Sol Polito, W. Howard Greene",NO
1939,CINEMATOGRAPHY (Color),Gone with the Wind,"Ernest Haller, Ray Rennahan",YES
1939,CINEMATOGRAPHY (Color),Drums along the Mohawk,"Ray Rennahan, Bert Glennon",NO
1939,CINEMATOGRAPHY (Color),Four Feathers,"Georges Perinal, Osmond Borradaile",NO
1939,CINEMATOGRAPHY (Color),The Wizard of Oz,Hal Rosson,NO
1939,CINEMATOGRAPHY (Color),The Mikado,"William V. Skall, Bernard Knowles",NO
1939,DIRECTING,Stagecoach,John Ford,NO
1939,DIRECTING,Gone with the Wind,Victor Fleming,YES
1939,DIRECTING,Wuthering Heights,William Wyler,NO
1939,DIRECTING,"Goodbye, Mr. Chips",Sam Wood,NO
1939,DIRECTING,Mr. Smith Goes to Washington,Frank Capra,NO
1939,FILM EDITING,Stagecoach,"Otho Lovering, Dorothy Spencer",NO
1939,FILM EDITING,Mr. Smith Goes to Washington,"Gene Havlick, Al Clark",NO
1939,FILM EDITING,"Goodbye, Mr. Chips",Charles Frend,NO
1939,FILM EDITING,Gone with the Wind,"Hal C. Kern, James E. Newcom",YES
1939,FILM EDITING,The Rains Came,Barbara McLean,NO
1939,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,,YES
1939,MUSIC (Original Score),Wuthering Heights,Alfred Newman,NO
1939,MUSIC (Original Score),Gone with the Wind,Max Steiner,NO
1939,MUSIC (Original Score),The Rains Came,Alfred Newman,NO
1939,MUSIC (Original Score),Gulliver's Travels,Victor Young,NO
1939,MUSIC (Original Score),Dark Victory,Max Steiner,NO
1939,MUSIC (Original Score),Eternally Yours,Werner Janssen,NO
1939,MUSIC (Original Score),The Man in the Iron Mask,"Lud Gluskin, Lucien Moraweck",NO
1939,MUSIC (Original Score),Nurse Edith Cavell,Anthony Collins,NO
1939,MUSIC (Original Score),Golden Boy,Victor Young,NO
1939,MUSIC (Original Score),Of Mice and Men,Aaron Copland,NO
1939,MUSIC (Original Score),Man of Conquest,Victor Young,NO
1939,MUSIC (Original Score),The Wizard of Oz,Herbert Stothart,YES
1939,MUSIC (Scoring),The Great Victor Herbert,"Phil Boutelje, Arthur Lange",NO
1939,MUSIC (Scoring),Swanee River,Louis Silvers,NO
1939,MUSIC (Scoring),Mr. Smith Goes to Washington,Dimitri Tiomkin,NO
1939,MUSIC (Scoring),Of Mice and Men,Aaron Copland,NO
1939,MUSIC (Scoring),She Married a Cop,Cy Feuer,NO
1939,MUSIC (Scoring),Stagecoach,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",YES
1939,MUSIC (Scoring),Way Down South,Victor Young,NO
1939,MUSIC (Scoring),First Love,Charles Previn,NO
1939,MUSIC (Scoring),They Shall Have Music,Alfred Newman,NO
1939,MUSIC (Scoring),The Hunchback of Notre Dame,Alfred Newman,NO
1939,MUSIC (Scoring),Babes in Arms,"George E. Stoll, Roger Edens",NO
1939,MUSIC (Scoring),The Private Lives of Elizabeth and Essex,Erich Wolfgang Korngold,NO
1939,MUSIC (Scoring),Intermezzo,Lou Forbes,NO
1939,MUSIC (Song),"Wishing"" from Love Affair""",Music and Lyrics by Buddy de Sylva,NO
1939,MUSIC (Song),"Over the Rainbow"" from The Wizard of Oz""",Music by Harold Arlen; Lyrics by E. Y. Harburg,YES
1939,MUSIC (Song),"Faithful Forever"" from Gulliver's Travels""",Music by Ralph Rainger; Lyrics by Leo Robin,NO
1939,MUSIC (Song),"I Poured My Heart into a Song"" from Second Fiddle""",Music and Lyrics by Irving Berlin,NO
1939,OUTSTANDING PRODUCTION,Love Affair,RKO Radio,NO
1939,OUTSTANDING PRODUCTION,Mr. Smith Goes to Washington,Columbia,NO
1939,OUTSTANDING PRODUCTION,The Wizard of Oz,Metro-Goldwyn-Mayer,NO
1939,OUTSTANDING PRODUCTION,Stagecoach,Walter Wanger (production company),NO
1939,OUTSTANDING PRODUCTION,Wuthering Heights,Samuel Goldwyn Productions,NO
1939,OUTSTANDING PRODUCTION,Gone with the Wind,Selznick International Pictures,YES
1939,OUTSTANDING PRODUCTION,Of Mice and Men,Hal Roach (production company),NO
1939,OUTSTANDING PRODUCTION,Dark Victory,Warner Bros.-First National,NO
1939,OUTSTANDING PRODUCTION,Ninotchka,Metro-Goldwyn-Mayer,NO
1939,OUTSTANDING PRODUCTION,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,NO
1939,SHORT SUBJECT (Cartoon),The Pointer,"Walt Disney, Producer",NO
1939,SHORT SUBJECT (Cartoon),Peace on Earth,Metro-Goldwyn-Mayer,NO
1939,SHORT SUBJECT (Cartoon),Detouring America,Warner Bros.,NO
1939,SHORT SUBJECT (Cartoon),The Ugly Duckling,"Walt Disney, Producer",YES
1939,SHORT SUBJECT (One-reel),Sword Fishing,Warner Bros.,NO
1939,SHORT SUBJECT (One-reel),Busy Little Bears,Paramount,YES
1939,SHORT SUBJECT (One-reel),Prophet without Honor,Metro-Goldwyn-Mayer,NO
1939,SHORT SUBJECT (One-reel),Information Please,RKO Radio,NO
1939,SHORT SUBJECT (Two-reel),Sons of Liberty,Warner Bros.,YES
1939,SHORT SUBJECT (Two-reel),Five Times Five,RKO Radio,NO
1939,SHORT SUBJECT (Two-reel),Drunk Driving,Metro-Goldwyn-Mayer,NO
1939,SOUND RECORDING,The Rains Came,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",NO
1939,SOUND RECORDING,Balalaika,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",NO
1939,SOUND RECORDING,The Private Lives of Elizabeth and Essex,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",NO
1939,SOUND RECORDING,The Great Victor Herbert,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",NO
1939,SOUND RECORDING,"Goodbye, Mr. Chips","Denham Studio Sound Department, A. W. Watkins, Sound Director",NO
1939,SOUND RECORDING,When Tomorrow Comes,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",YES
1939,SOUND RECORDING,Man of Conquest,"Republic Studio Sound Department, Charles L. Lootens, Sound Director",NO
1939,SOUND RECORDING,Mr. Smith Goes to Washington,"Columbia Studio Sound Department, John Livadary, Sound Director",NO
1939,SOUND RECORDING,Of Mice and Men,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director",NO
1939,SOUND RECORDING,The Hunchback of Notre Dame,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",NO
1939,SOUND RECORDING,Gone with the Wind,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",NO
1939,SPECIAL EFFECTS,Topper Takes a Trip,Roy Seawright,NO
1939,SPECIAL EFFECTS,The Rains Came,"Fred Sersen, E. H. Hansen",YES
1939,SPECIAL EFFECTS,The Wizard of Oz,"A. Arnold Gillespie, Douglas Shearer",NO
1939,SPECIAL EFFECTS,Only Angels Have Wings,"Roy Davidson, Edwin C. Hahn",NO
1939,SPECIAL EFFECTS,Gone with the Wind,"John R. Cosgrove, Fred Albin, Arthur Johns",NO
1939,SPECIAL EFFECTS,The Private Lives of Elizabeth and Essex,"Byron Haskin, Nathan Levinson",NO
1939,SPECIAL EFFECTS,Union Pacific,"Farciot Edouart, Gordon Jennings, Loren Ryder",NO
1939,WRITING (Original Story),Young Mr. Lincoln,Lamar Trotti,NO
1939,WRITING (Original Story),Bachelor Mother,Felix Jackson,NO
1939,WRITING (Original Story),Mr. Smith Goes to Washington,Lewis R. Foster,YES
1939,WRITING (Original Story),Ninotchka,Melchior Lengyel,NO
1939,WRITING (Original Story),Love Affair,"Mildred Cram, Leo McCarey",NO
1939,WRITING (Screenplay),Wuthering Heights,"Charles MacArthur, Ben Hecht",NO
1939,WRITING (Screenplay),"Goodbye, Mr. Chips","R. C. Sherriff, Claudine West, Eric Maschwitz",NO
1939,WRITING (Screenplay),Mr. Smith Goes to Washington,Sidney Buchman,NO
1939,WRITING (Screenplay),Ninotchka,"Charles Brackett, Billy Wilder, Walter Reisch",NO
1939,WRITING (Screenplay),Gone with the Wind,Sidney Howard,YES
1940,ACTOR,Laurence Olivier,"Rebecca {Maxim de Winter""}""",NO
1940,ACTOR,Raymond Massey,"Abe Lincoln in Illinois {Abraham Lincoln""}""",NO
1940,ACTOR,Charles Chaplin,"The Great Dictator {Hynkel, Dictator of Tomania""}""",NO
1940,ACTOR,James Stewart,"The Philadelphia Story {Mike Connor""}""",YES
1940,ACTOR,Henry Fonda,"The Grapes of Wrath {Tom Joad""}""",NO
1940,ACTOR IN A SUPPORTING ROLE,Jack Oakie,"The Great Dictator {Napaloni, Dictator of Bacteria""}""",NO
1940,ACTOR IN A SUPPORTING ROLE,James Stephenson,"The Letter {Howard Joyce""}""",NO
1940,ACTOR IN A SUPPORTING ROLE,Walter Brennan,"The Westerner {Judge Roy Bean""}""",YES
1940,ACTOR IN A SUPPORTING ROLE,William Gargan,"They Knew What They Wanted {Joe, the Foreman""}""",NO
1940,ACTOR IN A SUPPORTING ROLE,Albert Basserman,"Foreign Correspondent {Van Meer""}""",NO
1940,ACTRESS,Bette Davis,"The Letter {Leslie Crosbie""}""",NO
1940,ACTRESS,Joan Fontaine,"Rebecca {Mrs. de Winter""}""",NO
1940,ACTRESS,Ginger Rogers,"Kitty Foyle {Kitty Foyle""}""",YES
1940,ACTRESS,Martha Scott,"Our Town {Emily Webb""}""",NO
1940,ACTRESS,Katharine Hepburn,"The Philadelphia Story {Tracy Lord""}""",NO
1940,ACTRESS IN A SUPPORTING ROLE,Marjorie Rambeau,"Primrose Path {Mamie Adams""}""",NO
1940,ACTRESS IN A SUPPORTING ROLE,Ruth Hussey,"The Philadelphia Story {Liz Imbrie""}""",NO
1940,ACTRESS IN A SUPPORTING ROLE,Barbara O'Neil,"All This, and Heaven Too {Duchesse de Praslin""}""",NO
1940,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,"The Grapes of Wrath {Ma Joad""}""",YES
1940,ACTRESS IN A SUPPORTING ROLE,Judith Anderson,"Rebecca {Mrs. Danvers""}""",NO
1940,ART DIRECTION (Black-and-White),Foreign Correspondent,Alexander Golitzen,NO
1940,ART DIRECTION (Black-and-White),The Westerner,James Basevi,NO
1940,ART DIRECTION (Black-and-White),Rebecca,Lyle Wheeler,NO
1940,ART DIRECTION (Black-and-White),Arizona,"Lionel Banks, Robert Peterson",NO
1940,ART DIRECTION (Black-and-White),"Arise, My Love","Hans Dreier, Robert Usher",NO
1940,ART DIRECTION (Black-and-White),The Boys from Syracuse,John Otterson,NO
1940,ART DIRECTION (Black-and-White),Lillian Russell,"Richard Day, Joseph C. Wright",NO
1940,ART DIRECTION (Black-and-White),The Sea Hawk,Anton Grot,NO
1940,ART DIRECTION (Black-and-White),The Dark Command,John Victor Mackay,NO
1940,ART DIRECTION (Black-and-White),"My Son, My Son!",John DuCasse Schulze,NO
1940,ART DIRECTION (Black-and-White),Pride and Prejudice,"Cedric Gibbons, Paul Groesse",YES
1940,ART DIRECTION (Black-and-White),Our Town,Lewis J. Rachmil,NO
1940,ART DIRECTION (Black-and-White),My Favorite Wife,"Van Nest Polglase, Mark-Lee Kirk",NO
1940,ART DIRECTION (Color),Down Argentine Way,"Richard Day, Joseph C. Wright",NO
1940,ART DIRECTION (Color),Bitter Sweet,"Cedric Gibbons, John S. Detlie",NO
1940,ART DIRECTION (Color),North West Mounted Police,"Hans Dreier, Roland Anderson",NO
1940,ART DIRECTION (Color),The Thief of Bagdad,Vincent Korda,YES
1940,CINEMATOGRAPHY (Black-and-White),"All This, and Heaven Too",Ernest Haller,NO
1940,CINEMATOGRAPHY (Black-and-White),Foreign Correspondent,Rudolph Mat&Atilde;&copy;,NO
1940,CINEMATOGRAPHY (Black-and-White),Abe Lincoln in Illinois,James Wong Howe,NO
1940,CINEMATOGRAPHY (Black-and-White),"Arise, My Love","Charles B. Lang, Jr.",NO
1940,CINEMATOGRAPHY (Black-and-White),Waterloo Bridge,Joseph Ruttenberg,NO
1940,CINEMATOGRAPHY (Black-and-White),The Letter,Gaetano (Tony) Gaudio,NO
1940,CINEMATOGRAPHY (Black-and-White),Boom Town,Harold Rosson,NO
1940,CINEMATOGRAPHY (Black-and-White),Rebecca,George Barnes,YES
